ticket_id,created_ts,first_response_ts,resolved_ts,channel,issue_type,agent_id,handle_seconds,acw_seconds,first_touch_resolved
T0000009,2025-11-10T09:02:06.427151-06:00,2025-11-10T09:02:06.427151-06:00,2025-11-10T09:08:06.291050-06:00,email,billing,A007,319,77,True
T0000020,2025-11-10T09:03:57.858081-06:00,2025-11-10T09:03:57.858081-06:00,2025-11-10T09:06:39.572102-06:00,email,login,A008,126,38,True
T0000005,2025-11-10T09:04:58.580264-06:00,2025-11-10T09:04:58.580264-06:00,2025-11-10T09:08:42.884432-06:00,chat,billing,A010,215,55,True
T0000016,2025-11-10T09:05:43.707946-06:00,2025-11-10T09:05:43.707946-06:00,2025-11-10T09:10:02.482180-06:00,email,login,A013,258,51,False
T0000008,2025-11-10T09:08:59.794332-06:00,2025-11-10T09:08:59.794332-06:00,2025-11-10T09:12:34.890399-06:00,email,login,A005,202,33,True
T0000007,2025-11-10T09:09:30.534577-06:00,2025-11-10T09:09:30.534577-06:00,2025-11-10T09:14:59.612310-06:00,email,bug,A012,287,41,True
T0000001,2025-11-10T09:09:36.019781-06:00,2025-11-10T09:09:36.019781-06:00,2025-11-10T09:13:38.297586-06:00,chat,login,A003,222,52,False
T0000006,2025-11-10T09:11:40.896338-06:00,2025-11-10T09:11:40.896338-06:00,2025-11-10T09:16:06.523816-06:00,email,bug,A014,241,78,False
T0000013,2025-11-10T09:13:59.345382-06:00,2025-11-10T09:13:59.345382-06:00,2025-11-10T09:18:52.647636-06:00,chat,login,A010,242,32,True
T0000011,2025-11-10T09:16:23.740424-06:00,2025-11-10T09:16:23.740424-06:00,2025-11-10T09:20:24.693133-06:00,email,billing,A010,211,49,True
T0000015,2025-11-10T09:16:59.639891-06:00,2025-11-10T09:16:59.639891-06:00,2025-11-10T09:22:33.464531-06:00,email,bug,A019,325,48,True
T0000017,2025-11-10T09:18:15.308303-06:00,2025-11-10T09:18:15.308303-06:00,2025-11-10T09:23:37.568473-06:00,phone,bug,A010,307,92,True
T0000004,2025-11-10T09:19:49.800538-06:00,2025-11-10T09:19:49.800538-06:00,2025-11-10T09:27:24.947750-06:00,chat,bug,A011,431,127,False
